month,count,sentiment,subjectivity,reading_ease,grade_level,retweet_count,favorite_count,length,subject
10-05,21,0.0935300925925926,0.24093584656084657,70.80285714285714,5.123809523809523,33466.7619047619,178371.52380952382,75.42857142857143,all
10-04,5,0.11625,0.10750000000000001,160.37800000000001,-8.179999999999998,64946.6,348865.2,57.8,all
10-03,4,0.455390625,0.3470833333333333,118.0925,-1.2249999999999996,119980.5,801012.5,103.5,all
10-02,3,0.027904040404040393,0.36984848484848487,115.03333333333332,-1.0666666666666664,199525.0,988339.6666666666,134.33333333333334,all
10-01,21,-0.01715133191323667,0.23327463982225888,92.00238095238095,2.5714285714285716,23373.95238095238,105180.95238095238,116.80952380952381,all
09-30,1,0.0,0.0,119.19,-2.7,24677,69742,41,all
2020-10,4,-0.004830109126984128,0.34961557539682536,67.7225,7.8500000000000005,32321.0,151041.75,183.75,economy
2020-10,1,-0.20037878787878788,0.5640909090909092,74.19,6.4,49136,317880,231,covid
2020-10,1,0.01904761904761906,0.3238095238095238,58.62,10.3,18996,70930,264,foreign_policy
2020-10,7,0.08152565192743765,0.2881136621315193,68.67999999999999,7.042857142857143,28516.0,128503.14285714286,182.28571428571428,domestic_policy
2020-10,1,-0.41666666666666663,1.0,90.26,2.3,21680,68141,171,impeachment
2020-10,45,0.0919298774784886,0.20917583239805462,97.62355555555561,1.2133333333333332,51699.044444444444,279610.0888888889,77.00000000000001,other
2020-09,1,0.0,0.0,119.19,-2.7,24677,69742,41,other
